"Name ____________________________","Dealflow Status","Country Code","Founding Year",Employees,"Business Model","Website URL","LinkedIn URL","Crunchbase URL","Twitter URL","(Catalist_URL: ""https://ventureiq.io/entity/ID_below"") ID","Collections ______________________________________________","VIQ Tags ___________________________________________________________","Client Tags ___________________________________________________________","Keywords __________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
"3F BIO"," - ",GB,"2,015",11,b2b,"http://www.3fbio.com/","https://www.linkedin.com/company/3f-bio-ltd/","https://www.crunchbase.com/organization/3fbio","https://twitter.com/3fbio?lang=en","29,688,682","Example collection: Alternative protein","[""alternative ingredients"",""alternative protein"",""cell based protein"",""cultured meat"",""fermentation"",""food and beverage"",""food and nutrition"",""food waste recovery"",""health and wellness"",""ingredients"",""meat alternative"",""meat extender"",""mycoprotein"",""nutrition"",""nutritional product"",""production technology"",""protein"",""sustainable protein""]"," - "," - "
"ABBBOT KINEYS"," - ",NL,"2,014",11,b2c,"https://www.abbotkinneys.com/","https://www.linkedin.com/company/abbot-kinney's/","https://www.crunchbase.com/organization/abbot-kinney-s","https://twitter.com/cathyabbottlab?lang=en","30,523,047","Example collection: Alternative protein","[""plant protein"",""vegan protein""]"," - "," - "
"ALBERTS PURVEGAN"," - ",DE,"2,013",1," - ","www.purvegan.de","https://www.linkedin.com/company/purvegan-gmbh/"," - "," - ","30,520,000","Example collection: Alternative protein","[""meat alternative"",""plant protein"",""plant-based meat"",""vegan protein""]"," - "," - "
ALEPH," - ",IL,"2,017",1," - ","https://www.aleph-farms.com/","https://www.linkedin.com/company/aleph-farms/","https://www.crunchbase.com/organization/aleph-farms","https://twitter.com/alephfarms?lang=en","30,519,718","Example collection: Alternative protein","[""agtech"",""alternative protein"",""alternative-protein"",""biotechnology"",""cellular agriculture"",""clean meat"",""cultured meat"",""foodtech"",""in-vitro-food"",""production technology"",""sustainable-protein"",""tissue-regeneration""]"," - "," - "
ALGAVIA," - ",US,"2,003",51,b2b,"http://algavia.com/","https://www.linkedin.com/company/6398878"," - "," - ","29,688,611","Example collection: Alternative protein","[""algae protein"",""algae tech"",""algal flour"",""lipid"",""lipid powder"",""vegan protein""]"," - ","[""algae"",""algavia"",""algavia proteins lipid powders"",""delicious food good people"",""egg"",""egg lifestyle replace butter"",""fat"",""fat great taste texture"",""food"",""food system efficient less"",""great taste texture possible"",""healthy product indulgent taste"",""more"",""new vegan alternative egg"",""product indulgent taste texture"",""protein"",""protein fortification simple reduction"",""rich whole algae"",""small implication profound"",""small implication profound anyone"",""system efficient less resource"",""texture"",""texture mouthfeel discover lipid"",""vegan alternative egg lifestyle"",""vegan protein fortification simple"",""whole"",""whole algae ingredients"",""whole algae ingredients explore"",""year"",""year head start on""]"
"ALGISYS LLC"," - ",US,"2,009",1," - ","http://www.algisys.com/","https://www.linkedin.com/company/algisys-llc/about/","https://www.crunchbase.com/organization/algisys"," - ","432,129","Example collection: Alternative protein","[""algae protein"",""vegan protein""]"," - ","[""acid"",""algal epa production process"",""algisys"",""biomass"",""biotechnology"",""biotechnology company company"",""commercial algal epa production"",""compound significant health benefit"",""demand"",""demand epa high protein"",""dha"",""epa"",""epa high protein biomass"",""epa oil pure"",""epa omega-3 nutritional oils"",""fatty acid"",""fatty acid replacement fish"",""high"",""high protein biomass product"",""high protein vegan biomass"",""llc all rights reserved"",""multibillion dollar market demand"",""natural epa omega-3 nutritional"",""nutritional"",""nutritional compound significant health"",""nutritional oil biomas"",""nutritional oils high protein"",""oil"",""oils high protein vegan"",""omega-3"",""play major role meeting"",""primary source omega-3 epa"",""propriety strain microalgae capable"",""quantity omega-3 nutritional oil"",""source"",""source omega-3 epa dha""]"
AMIDORI," - ",DE,"2,015",1,b2c,"http://www.amidori.com/en","https://www.linkedin.com/company/midori-limited"," - "," - ","30,475,254","Example collection: Alternative protein","[""alternative ingredients"",""enhanced nutrition"",""food"",""food and nutrition"",""functional food"",""health and wellness"",""ingredients"",""meat alternative"",""plant protein"",""processing technology"",""protein"",""snack"",""soy"",""vegan protein""]"," - ","[""alle wichtige ber amidori"",""amidori"",""anbau unserer rohstoffe"",""ber"",""bock kreative rezepte fnf"",""content vom feld"",""das"",""denn erbse wchst boden"",""einfach"",""ertl center hallstadt"",""fair trade bersee gelten"",""finanzen verwaltung mitarbeiter besprechungsservice"",""fr"",""fr spannendste produkten biss"",""gastgeber lutz bornhft cookup"",""gefhl besten zusamman passen"",""geschmack"",""gibt ihnen darber hinaus"",""groen leidenschaft fr visionre"",""gut"",""gut fr gesundheit der"",""ich"",""leidenschaft fr visionre ideen"",""mdori"",""mdori varianten scheint menge"",""merkt schon satten biss"",""mit groer spannung darauf"",""nachhaltige landwirtschaft glckliche bauern"",""plant protein people"",""produkte"",""produktion"",""proteinversorgung zukunft machen welt"",""schritten beginnt produziert amidori"",""soja"",""sonnenerbsen schier unendlichen mglichkeiten"",""street food flotteausschau halten"",""street food lunch"",""tasting session freund nils"",""trucks permanent unterweg berraschen"",""uhr street food"",""und"",""unsere"",""unsere idee vllig neuen"",""unterweg berraschen menschen geschmackserlebnis"",""vegetarier alternative soja co."",""vom"",""vom feld gabel"",""vom feld gabel amidori"",""wahl saatguts lange nachgedacht"",""welt bissen besser"",""wert ressourcen schonende umweltvertrgliche"",""wir"",""wir setzen stattdessen regionale"",""wir suchen stndig menschen"",""zum beispiel enthalten lupine"",""zwei- dreifelderwirtschaft investieren kologisch""]"
"APPLETON MEATS"," - ",CA,"2,018",1,b2b2c,"www.appletonmeats.com"," - "," - "," - ","30,523,785","Example collection: Alternative protein","[""ag tech"",""beef"",""cellular agriculture"",""clean meat"",""cow"",""cultured meat"",""in vitro meat"",""sustainable protein""]"," - "," - "
ARBIOM," - ",US,"1,997",11,b2b,"www.arbiom.com","https://www.linkedin.com/company/arbiom-inc"," - ","https://twitter.com/arbiom","30,485,536","Example collection: Alternative protein","[""advanced materials"",""alternative fuels"",""aquaculture"",""biobased chemicals"",""biomass to sugars"",""biotech"",""cellulosic biomass"",""cellulosic feedstocks"",""fa next event"",""plant protein"",""sustainable plastics"",""vegan protein""]"," - ","[""amino acid profile antibiotic"",""aquaculture"",""aquaculture innovation showcase technology"",""arbiom"",""biomass"",""biomass sustainable food feed"",""business journal life sciences"",""chemical"",""chemical material industry"",""class growth middle class"",""community plant operation construction"",""company"",""company european forum industrial"",""complete traceability source end"",""deficit region members arbiom"",""development rural community complete"",""economic development rural community"",""emission low land water"",""european forum industrial biotechnology"",""food"",""food biomass sustainable food"",""food feed ingredient"",""forum industrial biotechnology durham"",""gap agronomy industry"",""high"",""high value opportunity woody"",""industry"",""innovation showcase finalist arbiom"",""job local community plant"",""jobs stimulating local economies"",""journal life sciences awards"",""local"",""low ghg emission low"",""material"",""named winner triangle business"",""nutreco feed tech challenge"",""october"",""opportunities sustainable forestry arbiom"",""production food feed ingredient"",""production potential less resource"",""protein"",""protein low ghg emission"",""reduce greenhouse gas"",""rural community complete traceability"",""source"",""source end product consistent"",""stimulating local economies arbiom"",""supply"",""sustainable"",""sustainable food feed"",""technology"",""toxic decline paper industry"",""triangle business journal life"",""use food security protein"",""water use food security"",""winner triangle business journal"",""wood"",""world""]"
"AVANT MEATS"," - ",HK,"2,018",1,b2b2c,"www.avantmeats.com","https://www.linkedin.com/company/avant-meats/"," - "," - ","30,523,786","Example collection: Alternative protein","[""ag tech"",""cellular agriculture"",""clean meat"",""cultured meat"",""fish"",""food technology"",""in vitro meat"",""seafood"",""sustainable protein""]"," - "," - "
